프레임번호,타임스탐프_초,단순분류,정상확률,포트홀확률,신뢰도,CP클래스,CP클래스번호,파일경로
0,0.0,정상,0.6040,0.3960,0.6040,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000000_0.000s.jpg
1,0.050050002315779725,정상,0.6174,0.3826,0.6174,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000001_0.050s.jpg
2,0.10010000463155945,정상,0.5839,0.4161,0.5839,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000002_0.100s.jpg
3,0.15015000694733918,정상,0.6088,0.3912,0.6088,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000003_0.150s.jpg
4,0.2002000092631189,정상,0.6202,0.3798,0.6202,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000004_0.200s.jpg
5,0.25025001157889865,정상,0.6164,0.3836,0.6164,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000005_0.250s.jpg
6,0.30030001389467836,정상,0.5530,0.4470,0.5530,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000006_0.300s.jpg
7,0.3503500162104581,정상,0.5658,0.4342,0.5658,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000007_0.350s.jpg
8,0.4004000185262378,정상,0.6165,0.3835,0.6165,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000008_0.400s.jpg
9,0.4504500208420175,정상,0.5876,0.4124,0.5876,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000009_0.450s.jpg
10,0.5005000231577973,정상,0.6455,0.3545,0.6455,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000010_0.501s.jpg
11,0.550550025473577,정상,0.6428,0.3572,0.6428,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000011_0.551s.jpg
12,0.6006000277893567,정상,0.6574,0.3426,0.6574,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000012_0.601s.jpg
13,0.6506500301051364,정상,0.6623,0.3377,0.6623,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000013_0.651s.jpg
14,0.7007000324209162,정상,0.6682,0.3318,0.6682,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000014_0.701s.jpg
15,0.7507500347366959,정상,0.6407,0.3593,0.6407,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000015_0.751s.jpg
16,0.8008000370524756,정상,0.6652,0.3348,0.6652,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000016_0.801s.jpg
17,0.8508500393682553,정상,0.6285,0.3715,0.6285,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000017_0.851s.jpg
18,0.900900041684035,정상,0.6221,0.3779,0.6221,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000018_0.901s.jpg
19,0.9509500439998148,정상,0.5542,0.4458,0.5542,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000019_0.951s.jpg
20,1.0010000463155946,정상,0.5916,0.4084,0.5916,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000020_1.001s.jpg
21,1.0510500486313743,정상,0.5943,0.4057,0.5943,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000021_1.051s.jpg
