번호,파일명,단순분류,정상확률,포트홀확률,신뢰도,CP예측집합,CP클래스,CP클래스번호,이미지경로
1,frame_0000.png,정상,0.6146,0.3854,0.6146,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0000.png
2,frame_0001.png,정상,0.6155,0.3845,0.6155,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0001.png
3,frame_0002.png,정상,0.6388,0.3612,0.6388,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0002.png
4,frame_0003.png,정상,0.6606,0.3394,0.6606,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0003.png
5,frame_0004.png,정상,0.6681,0.3319,0.6681,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0004.png
6,frame_0005.png,정상,0.5518,0.4482,0.5518,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0005.png
7,frame_0006.png,정상,0.5842,0.4158,0.5842,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0006.png
8,frame_0007.png,포트홀,0.3935,0.6065,0.6065,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0007.png
9,frame_0008.png,정상,0.5404,0.4596,0.5404,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0008.png
10,frame_0009.png,정상,0.5858,0.4142,0.5858,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0009.png
11,frame_0010.png,정상,0.5144,0.4856,0.5144,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0010.png
12,frame_0011.png,포트홀,0.4502,0.5498,0.5498,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0011.png
13,frame_0012.png,포트홀,0.3386,0.6614,0.6614,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0012.png
14,frame_0013.png,정상,0.5183,0.4817,0.5183,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0013.png
15,frame_0014.png,정상,0.5176,0.4824,0.5176,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0014.png
16,frame_0015.png,포트홀,0.4700,0.5300,0.5300,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0015.png
